2025-10-25T11:57:18.272Z [info] [proc] Executing command: /usr/bin/cmake --version
2025-10-25T11:57:18.277Z [debug] [proc]   with environment: {"HOSTNAME":"dave-computer","HOME":"/home/ws","ROS_DISTRO":"jazzy","PATH":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/remote-cli:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin","DISPLAY":":0","LANG":"C.UTF-8","ROS_DOMAIN_ID":"42","SHELL":"/bin/bash","ROS_AUTOMATIC_DISCOVERY_RANGE":"LOCALHOST","LC_ALL":"C.UTF-8","PWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_CWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en\",\"osLocale\":\"en\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/out/nls.messages.json\",\"locale\":\"en\",\"availableLanguages\":{}}","VSCODE_HANDLES_SIGPIPE":"true","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","REMOTE_CONTAINERS_IPC":"/tmp/vscode-remote-containers-ipc-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS_SOCKETS":"[\"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock\",\"/home/ws/.gnupg/S.gpg-agent\"]","SHLVL":"1","_":"/usr/bin/cat","SSH_AUTH_SOCK":"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS":"true","BROWSER":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/helpers/browser.sh","ELECTRON_RUN_AS_NODE":"1","VSCODE_IPC_HOOK_CLI":"/tmp/vscode-ipc-5b8f7765-0b7b-4e48-b748-701792dbeadd.sock","VSCODE_L10N_BUNDLE_LOCATION":"","APPLICATION_INSIGHTS_NO_STATSBEAT":"true"}
2025-10-25T11:57:20.232Z [info] [proc] Executing command: /usr/bin/cmake -E capabilities
2025-10-25T11:57:20.235Z [debug] [proc]   with environment: {"HOSTNAME":"dave-computer","HOME":"/home/ws","ROS_DISTRO":"jazzy","PATH":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/remote-cli:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin","DISPLAY":":0","LANG":"C.UTF-8","ROS_DOMAIN_ID":"42","SHELL":"/bin/bash","ROS_AUTOMATIC_DISCOVERY_RANGE":"LOCALHOST","LC_ALL":"C.UTF-8","PWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_CWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en\",\"osLocale\":\"en\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/out/nls.messages.json\",\"locale\":\"en\",\"availableLanguages\":{}}","VSCODE_HANDLES_SIGPIPE":"true","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","REMOTE_CONTAINERS_IPC":"/tmp/vscode-remote-containers-ipc-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS_SOCKETS":"[\"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock\",\"/home/ws/.gnupg/S.gpg-agent\"]","SHLVL":"1","_":"/usr/bin/cat","SSH_AUTH_SOCK":"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS":"true","BROWSER":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/helpers/browser.sh","ELECTRON_RUN_AS_NODE":"1","VSCODE_IPC_HOOK_CLI":"/tmp/vscode-ipc-5b8f7765-0b7b-4e48-b748-701792dbeadd.sock","VSCODE_L10N_BUNDLE_LOCATION":"","APPLICATION_INSIGHTS_NO_STATSBEAT":"true"}
2025-10-25T11:57:22.976Z [debug] [main] Safe constructing new CMakeProject instance
2025-10-25T11:57:22.981Z [debug] [variant] Constructing VariantManager
2025-10-25T11:57:22.984Z [debug] [main] Constructing new CMakeProject instance
2025-10-25T11:57:22.986Z [debug] [main] Starting CMake Tools second-phase init
2025-10-25T11:57:23.519Z [debug] [kit] Reading kits file /home/ws/.local/share/CMakeTools/cmake-tools-kits.json
2025-10-25T11:57:25.563Z [info] [kit] Successfully loaded 1 kits from /home/ws/.local/share/CMakeTools/cmake-tools-kits.json
2025-10-25T11:57:29.617Z [debug] [kit] Not reading non-existent kits file: /home/ws/.vscode/cmake-kits.json
2025-10-25T11:57:32.972Z [info] [variant] Loaded new set of variants
2025-10-25T11:57:32.976Z [debug] [main] CMakeProject instance initialization complete.
2025-10-25T11:57:36.457Z [debug] [extension] Configuring workspace on open /home/ws
2025-10-25T11:57:36.969Z [debug] [kitsController] Start selection of kits. Found 4 kits.
2025-10-25T13:18:58.951Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:19:02.470Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:19:34.013Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:19:43.476Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:20:08.875Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:20:11.222Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:21:31.593Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:45:33.057Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:45:52.662Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:47:33.183Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:47:46.804Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:49:46.610Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:50:02.733Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:52:21.049Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:52:34.196Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:53:52.401Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:54:05.735Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:54:52.753Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:55:43.399Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:55:58.141Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:57:11.909Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:57:24.824Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:58:36.343Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:58:38.750Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:59:56.763Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T14:00:10.150Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T14:01:44.258Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T14:01:56.320Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T14:11:29.036Z [debug] [extension] Deactivate CMakeTools
e/CMakeTools/cmake-tools-kits.json
2025-10-25T06:17:39.897Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:19:26.485Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:19:29.214Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:19:33.246Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:18.067Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:26.894Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:29.957Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:35.384Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:38.026Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:45.945Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:21:49.114Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:23:57.213Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:24:02.534Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:24:38.122Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:31:48.867Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:31:54.163Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:37:22.922Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:37:28.068Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:37:59.127Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:42:31.655Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:46:12.910Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:47:54.822Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:54:52.751Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T06:54:54.410Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:10:25.713Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:10:27.178Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:11:35.459Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:11:37.075Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:11:50.651Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:11:51.993Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:04.354Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:12.409Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:20.569Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:23.476Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:24.744Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:27.626Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:34.428Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:12:44.153Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:13:07.092Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:13:08.821Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:16:57.006Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:16:58.090Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:17:04.508Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:18:27.549Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:18:29.035Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:21:06.364Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:21:39.888Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:21:45.965Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:21:50.007Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:22:06.094Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:22:10.570Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:22:37.523Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:22:39.332Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:22:59.884Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:25:44.472Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:25:46.340Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:25:55.253Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:31:46.115Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:31:48.320Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:31:50.227Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:31:54.258Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:31:55.688Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:01.182Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:03.149Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:05.354Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:24.348Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:49.660Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:51.448Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:53.605Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:32:58.639Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:33:05.347Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:36:16.654Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:14.016Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:15.526Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:19.618Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:21.490Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:48.591Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:50.712Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:37:56.120Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:05.160Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:10.315Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:11.309Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:50.497Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:52.785Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:38:54.232Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:39:01.369Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:39:05.714Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:42:35.275Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:42:37.975Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:46:51.266Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:46:53.024Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:47:00.665Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:47:03.088Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:50:46.114Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:57:41.954Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:57:43.107Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:58:08.736Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T07:58:11.044Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T09:07:52.784Z [debug] [extension] Deactivate CMakeTools
kit selected
2025-10-24T14:57:40.471Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T14:58:31.558Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T14:58:35.231Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:05:47.032Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:07:21.955Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:10:22.297Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:13:38.361Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:16:13.157Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:16:29.061Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:16:41.787Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:16:57.508Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:02.427Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:04.865Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:06.148Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:09.216Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:16.529Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:17:19.518Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:21:22.618Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-24T15:21:25.257Z [debug] [main] Not starting CMake driver: no kit selected
